[08-Dec-2020 06:33:09 UTC] PHP Warning:  Use of undefined constant verify - assumed 'verify' (this will throw an Error in a future version of PHP) in C:\www\Assignment5\header.php on line 2
[08-Dec-2020 06:34:21 UTC] PHP Warning:  Use of undefined constant verify - assumed 'verify' (this will throw an Error in a future version of PHP) in C:\www\Assignment5\header.php on line 2
[08-Dec-2020 06:34:33 UTC] PHP Warning:  Use of undefined constant verify - assumed 'verify' (this will throw an Error in a future version of PHP) in C:\www\Assignment5\header.php on line 2
[08-Dec-2020 06:34:38 UTC] PHP Warning:  Use of undefined constant verify - assumed 'verify' (this will throw an Error in a future version of PHP) in C:\www\Assignment5\header.php on line 2
[08-Dec-2020 06:36:12 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\www\Assignment5\header.php on line 2
[08-Dec-2020 06:36:29 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in C:\www\Assignment5\header.php on line 4
[08-Dec-2020 17:32:33 UTC] PHP Notice:  Undefined variable: result in C:\www\Assignment5\edit.php on line 22
[08-Dec-2020 17:32:33 UTC] PHP Fatal error:  Uncaught Error: Call to a member function fetch_assoc() on null in C:\www\Assignment5\edit.php:22
Stack trace:
#0 {main}
  thrown in C:\www\Assignment5\edit.php on line 22
[08-Dec-2020 18:01:45 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function loadReport() in C:\www\Assignment5\edit.php:7
Stack trace:
#0 {main}
  thrown in C:\www\Assignment5\edit.php on line 7
[08-Dec-2020 18:02:07 UTC] PHP Warning:  include_once(dbh-inc.php): failed to open stream: No such file or directory in C:\www\Assignment5\edit.php on line 7
[08-Dec-2020 18:02:07 UTC] PHP Warning:  include_once(): Failed opening 'dbh-inc.php' for inclusion (include_path='.;C:\php\pear') in C:\www\Assignment5\edit.php on line 7
[08-Dec-2020 18:02:07 UTC] PHP Warning:  include_once(functions-inc.php): failed to open stream: No such file or directory in C:\www\Assignment5\edit.php on line 8
[08-Dec-2020 18:02:07 UTC] PHP Warning:  include_once(): Failed opening 'functions-inc.php' for inclusion (include_path='.;C:\php\pear') in C:\www\Assignment5\edit.php on line 8
[08-Dec-2020 18:02:07 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function loadReport() in C:\www\Assignment5\edit.php:9
Stack trace:
#0 {main}
  thrown in C:\www\Assignment5\edit.php on line 9
[08-Dec-2020 19:36:18 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\www\Assignment5\edit.php on line 21
[08-Dec-2020 19:36:43 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in C:\www\Assignment5\includes\functions-inc.php on line 208
[08-Dec-2020 19:37:02 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting end of file in C:\www\Assignment5\includes\functions-inc.php on line 221
[08-Dec-2020 19:40:38 UTC] PHP Notice:  Undefined variable: row in C:\www\Assignment5\includes\functions-inc.php on line 187
[08-Dec-2020 19:40:38 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 187
[08-Dec-2020 19:41:12 UTC] PHP Notice:  Undefined variable: row in C:\www\Assignment5\includes\functions-inc.php on line 187
[08-Dec-2020 19:41:12 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 187
[08-Dec-2020 19:41:12 UTC] PHP Fatal error:  Uncaught Error: Call to a member function fetch_assoc() on bool in C:\www\Assignment5\includes\functions-inc.php:189
Stack trace:
